Scrambled sentence,Answer
저는 팀을 도울 준비가 됐어요.,I'm ready to help my team.
저는 답을 설명할 준비가 됐어요.,I'm ready to explain the answer.
저는 새로운 도전을 시작할 준비가 됐어요.,I'm ready to start a new challenge.
저는 제 아이디어를 공유할 준비가 됐어요.,I'm ready to share my ideas.
저는 오늘 열심히 공부할 준비가 됐어요.,I'm ready to study hard today.
저는 영어를 더 자주 말하려고 노력 중이에요.,I'm trying to speak English more often.
저는 새로운 단어를 기억하려고 노력 중이에요.,I'm trying to remember new words.
저는 더 친절하게 행동하려고 노력 중이에요.,I'm trying to be kinder.
저는 시간을 더 잘 관리하려고 노력 중이에요.,I'm trying to manage my time better.
저는 매일 영어책을 읽으려고 노력 중이에요.,I'm trying to read an English book every day.
너는 이 영화가 재미있다고 생각하지 않아?,Don't you think this movie is interesting?
너는 영어가 중요하다고 생각하지 않아?,Don't you think English is important?
너는 오늘 날씨가 좋다고 생각하지 않아?,Don't you think today's weather is nice?
너는 이 문제가 쉽다고 생각하지 않아?,Don't you think this problem is easy?
너는 그녀가 친절하다고 생각하지 않아?,Don't you think she is kind?
너는 우리는 지금 떠나야 한다고 생각하지 않아?,Don't you think we should leave now?
너는 이 음식이 정말 맛있다고 생각하지 않아?,Don't you think this food is delicious?
너는 그는 열심히 공부한다고 생각하지 않아?,Don't you think he studies hard?
너는 이 게임이 재미있다고 생각하지 않아?,Don't you think this game is fun?
너는 우리는 더 연습해야 한다고 생각하지 않아?,Don't you think we should practice more?
나는 네가 더 자야 한다고 생각해.,I think you should sleep more.
나는 네가 물을 더 많이 마셔야 한다고 생각해.,I think you should drink more water.
나는 네가 영어를 매일 연습해야 한다고 생각해.,I think you should practice English every day.
나는 네가 부모님을 도와야 한다고 생각해.,I think you should help your parents.
나는 네가 일찍 자야 한다고 생각해.,I think you should go to bed early.
나는 네가 시험을 위해 더 열심히 공부해야 한다고 생각해.,I think you should study harder for your test.
나는 네가 수업 시간에 더 질문해야 한다고 생각해.,I think you should ask more questions in class.
나는 네가 휴대폰을 덜 사용해야 한다고 생각해.,I think you should use your phone less.
나는 네가 실수하는 것을 두려워하지 말아야 한다고 생각해.,I think you should not be afraid of mistakes.
나는 네가 항상 최선을 다해야 한다고 생각해.,I think you should always do your best.
저는 영어를 배우러 여기 왔어요.,I am here to learn English.
저는 친구들을 도우러 여기 왔어요.,I am here to help my friends.
저는 질문을 하러 여기 왔어요.,I am here to ask questions.
저는 최선을 다하러 여기 왔어요.,I am here to do my best.
저는 새로운 것을 배우러 여기 왔어요.,I am here to learn something new.
저는 제 생각을 나누러 여기 왔어요.,I am here to share my ideas.
저는 팀과 함께 일하러 여기 왔어요.,I am here to work with my team.
저는 더 나은 사람이 되려고 여기 왔어요.,I am here to become a better person.
저는 오늘 발표를 하러 여기 왔어요.,I am here to give a presentation today.
저는 영어를 자신 있게 말하러 여기 왔어요.,I am here to speak English confidently.
