Scrambled sentence,Answer
학교에서 가장 좋아하는 과목은 무엇이니?,What's your favorite subject at school?
주말에 가장 좋아하는 활동은 무엇이니?,What's your favorite activity on weekends?
가장 좋아하는 계절과 그 이유는 무엇이니?,What's your favorite season and reason?
영어 시간에 가장 좋아하는 활동은 무엇이니?,What's your favorite activity in English class?
가장 자주 먹는 아침 식사는 무엇이니?,What's your usual breakfast?
가장 가보고 싶은 장소는 어디니?,What's your favorite place to visit?
학교가 끝난 후 가장 먼저 하는 일은 무엇이니?,What's the first thing you do after school?
가장 좋아하는 책이나 만화는 무엇이니?,What's your favorite book or comic?
가장 재미있었던 방학은 언제였니?,What's your most interesting vacation?
올해 가장 기대되는 행사는 무엇이니?,What's your favorite event this year?
정답이 뭐야?,What's the correct answer to this?
오늘 날짜가 뭐야?,What's the date today again?
지금 계획이 뭐야?,What's our plan for now?
오늘 점심 메뉴가 뭐야?,What's the lunch menu today?
무슨 일이야?,What's the matter with him?
밖에서 나는 소리가 뭐야?,What's that noise outside there?
오늘 영어 숙제가 뭐야?,What's today's English homework again?
네 가방 안에는 뭐가 있어?,What's in your school bag?
다음 영어 활동이 뭐야?,What's the next English activity?
이 단어의 뜻이 뭐야?,What's the meaning of this word?
나는 오늘 축구를 할까 생각 중이야.,I'm thinking of playing soccer today.
나는 친구를 만날까 생각 중이야.,I'm thinking of meeting my friend.
나는 책을 읽을까 생각 중이야.,I'm thinking of reading a book.
나는 엄마를 도와드릴까 생각 중이야.,I'm thinking of helping my mom.
나는 공원에 갈까 생각 중이야.,I'm thinking of going to the park.
나는 영어를 공부할까 생각 중이야.,I'm thinking of studying English.
나는 우유를 마실까 생각 중이야.,I'm thinking of drinking milk.
나는 오늘 밤 일찍 잘까 생각 중이야.,I'm thinking of going to bed early tonight.
나는 자전거를 탈까 생각 중이야.,I'm thinking of riding my bike.
나는 음악을 들을까 생각 중이야.,I'm thinking of listening to music.
너는 학교 끝나고 무엇을 하니?,What do you do after school?
너는 아침으로 무엇을 먹고 싶니?,What do you want for breakfast?
너는 방과 후에 누구와 놀고 싶니?,Who do you want to play with after school?
너는 오늘 밤 무엇을 볼 거니?,What do you want to watch tonight?
너는 가장 좋아하는 과목이 뭐니?,What is your favorite subject?
너는 주말에 어디에 가고 싶니?,Where do you want to go this weekend?
너는 영어 시간에 무엇을 배우니?,What do you learn in English class?
너는 학교에 무엇을 가져오니?,What do you bring to school?
너는 생일에 무엇을 받고 싶니?,What do you want for your birthday?
너는 가족과 무엇을 하는 것을 좋아하니?,What do you enjoy doing with your family?
